title,price,rating,reviews,availability
"CyberPowerPC Gamer Master Gaming PC, AMD Ryzen 5 5500 3.6GHz, Radeon RX 6400 4GB, 16GB DDR4, 500GB PCIe Gen4 SSD, WiFi Ready & Windows 11 Home (GMA3100A)",$719.99,4.6 out of 5 stars,"1,402 ratings",In Stock
"CyberPowerPC Gamer Xtreme VR Gaming PC, Intel Core i7-14700F 2.1GHz, GeForce RTX 5060 Ti 16GB, 16GB DDR5, 1TB PCIe 4.0 SSD, WiFi Ready & Windows 11 Home (GXiVR8040A17)","$1,358.94",4.5 out of 5 stars,49 ratings,In Stock
"LXZ Desktop PC Computer Ryzen 5-5600GT 8 core 3.6GHz, 16G DDR4 RAM, 512G NVME SSD, Tower Computer with 400W Power Supply for Working, Home and Office (White)",$719.99,4.6 out of 5 stars,6 ratings,Not Available
"CyberPowerPC Gamer Xtreme VR Gaming PC, Intel Core i5-13400F 2.5GHz, GeForce RTX 5060 8GB, 16GB DDR5, 1TB PCIe 4.0 SSD, WiFi Ready & Windows 11 Home (GXiVR8060A40)",$989.99,4.3 out of 5 stars,59 ratings,In Stock
"iBUYPOWER Y40 PRO Black Gaming PC Desktop Computer AMD Ryzen 9 7900X CPU, NVIDIA GeForce RTX 5070Ti 16GB GPU, 32GB DDR5 RGB 5200MHz RAM, 2TB NVMe SSD, Windows 11 Home, Keyboard, Mouse - Y40BA9N57T01","$2,069.99",3.8 out of 5 stars,6 ratings,In Stock
"Gaming PC Desktop Computer, Ryzen 7 5700X,RTX 4060,32GB DDR4 RAM and 1TB M.2 NVMe SSD, 240 Liquid Cooler, ARGB Fans,Game Design Office (R7 5700X / RTX 4060 / 32GB DDR4 / 1TB SSD)",$829.99,4.3 out of 5 stars,38 ratings,Not Available
"Gaming PC Desktop Computer,Intel Core i5 13400F,RTX 5060 8G,32GB DDR4 RAM 1TB SSD,ARGB Fan,Prebuilt Computer Tower for Gaming and Office","$1,799.99",5.0 out of 5 stars,3 ratings,Not Available
"LXZ Desktop PC Computer AMD Ryzen 7-5700G 8 core 3.9GHz, 16G DDR4 RAM, 512GB NVME SSD, Tower Computer with Power Supply 400W for Home and Office (White)",$87.97,4.4 out of 5 stars,11 ratings,Not Available
"Reatan A6 Mini Gaming PC AMD Oculink Ryzen 7 7840HS (8C/16T, up to 5.1GHz) Mini Desktop Computer, 32GB DDR5 5600MHz 1TB PCle4.0 SSD Mini PC, Quad Display&USB4& HDMI/DP/USB-C, WiFi 6E, BT 5.2","$1,974.99",4.5 out of 5 stars,104 ratings,Not Available
"GMKtec Mini PC AMD Ryzen 7 5825U (Turbo 4.5GHz) Dual NIC 2.5G Gaming Desktop Computers 16GB DDR4 512GB SSD Dual LAN 2.5G/ WiFi 6E, USB3.2, USB-C, BT 5.2, DP, HDMI, Dual Fan",,4.6 out of 5 stars,127 ratings,Not Available
"Beelink SER5 MAX Mini PC,AMD Ryzen7 6800U(8C/16T,up to 4.7GHz),Mini Computer 32GB LPDDR5 RAM 500GB M.2 SSD Graphics 12core 2200MHz,Support 4K Triple Display/HDMI+DP+Type-C/Wifi6/BT5.2/1000M LAN/USB3.2",$564.80,4.4 out of 5 stars,451 ratings,Not Available
